id,name,address,category,location,lat,lng,details,reviews
217941,"Snooker World","Al Ittihad Road, Al Khabisi , Dubai, P.O.Box: 87979 , United Arab Emirates",attraction,Dubai,25.26768272914,55.340213710261,http://tour-pedia.org/api/getPlaceDetails?id=217941,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=217941
"Al Khaleej Road,  P. O. Box 5588, Deira",attraction,114542,25.278771708855,55.304275938764,Dubai,"The Bar",4b0587edf964a52076a722e3,0,Bar,http://tour-pedia.org/api/getPlaceDetails?id=114542,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=114542
"Baniyas Road, P. O. Box 33398",attraction,114543,25.25992249377,55.318277656914,Dubai,Glasshouse,4b0587edf964a5207ba722e3,0,"Wine Bar",http://tour-pedia.org/api/getPlaceDetails?id=114543,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=114543
"10 31 A St.",attraction,114545,25.242824267441,55.341966403827,Dubai,"Irish Village",4b0587edf964a5207da722e3,0,Bar,http://tour-pedia.org/api/getPlaceDetails?id=114545,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=114545
"Salah Al Din Road, Deira",attraction,114546,25.270595130445,55.327048110344,Dubai,"Tiki Bar",4b0587edf964a52080a722e3,0,"Cocktail Bar",http://tour-pedia.org/api/getPlaceDetails?id=114546,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=114546
"Baniyas Road",attraction,114548,25.265029347339,55.31054019928,Dubai,"Up On The Tenth",4b0587edf964a52082a722e3,0,"Cocktail Bar",http://tour-pedia.org/api/getPlaceDetails?id=114548,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=114548
"Four Points by Sheraton Bur Dubai",attraction,114551,25.25727191068,55.299897193909,Dubai,"Viceroy Bar and Cocktail Lounge",4b0587eef964a52089a722e3,0,Pub,http://tour-pedia.org/api/getPlaceDetails?id=114551,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=114551
"Garhoud, Al Qutaeyat Road, P.O. Box 7978",attraction,114552,25.227603,55.32716,Dubai,Vinoteca,4b0587eef964a5208aa722e3,0,"Wine Bar",http://tour-pedia.org/api/getPlaceDetails?id=114552,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=114552
"Off Oud Metha Road",attraction,114554,25.229701,55.319248,Dubai,Vintage,4b0587eef964a5208ca722e3,0,"Wine Bar",http://tour-pedia.org/api/getPlaceDetails?id=114554,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=114554
"Emirates Towers",attraction,114555,25.217565866243,55.282961832046,Dubai,"Vu's Bar",4b0587eef964a5208fa722e3,0,"Cocktail Bar",http://tour-pedia.org/api/getPlaceDetails?id=114555,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=114555
"Abu Hail Road, Deira",attraction,114557,25.276182,55.349186,Dubai,"Zen Rooms",4b0587eef964a52094a722e3,0,Bar,http://tour-pedia.org/api/getPlaceDetails?id=114557,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=114557
"Khalid Bin Waleed Road",attraction,114558,25.259247093508,55.291977035036,Dubai,"Waxy O'Conner's",4b0587eef964a52095a722e3,0,Bar,http://tour-pedia.org/api/getPlaceDetails?id=114558,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=114558
"Mouth of the Dubai Creek",attraction,114559,25.2436611,55.3332638,Dubai,"19th Hole",4b0587eef964a52097a722e3,0,"Cocktail Bar",http://tour-pedia.org/api/getPlaceDetails?id=114559,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=114559
"Jumeirah Beach Hotel",attraction,114563,25.141369,55.18947499598,Dubai,Beachcombers,4b0587eef964a520a0a722e3,0,Bar,http://tour-pedia.org/api/getPlaceDetails?id=114563,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=114563
"Park Hyatt",attraction,114566,25.243929,55.332488,Dubai,"The Terrace",4b0587eef964a520a6a722e3,0,Lounge,http://tour-pedia.org/api/getPlaceDetails?id=114566,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=114566
"Sheikh Zayed Road",attraction,114567,25.208238768868,55.271594303278,Dubai,"iKandy Ultra Lounge",4b0587eef964a520a7a722e3,0,Lounge,http://tour-pedia.org/api/getPlaceDetails?id=114567,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=114567
"Sheikh Rashid Road",attraction,114568,25.228134,55.320326,Dubai,"Crossroads Cocktail Bar & Terrace",4b0587eef964a520a8a722e3,0,Bar,http://tour-pedia.org/api/getPlaceDetails?id=114568,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=114568
"Novotel World Trade Centre",attraction,114569,25.221615635449,55.288775720322,Dubai,"Blue Bar - Novotel World Trade Centre",4b0587eef964a520a9a722e3,0,Bar,http://tour-pedia.org/api/getPlaceDetails?id=114569,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=114569
"Sheikh Zayed Road",attraction,114570,25.123534044345,55.201986125788,Dubai,Après,4b0587eef964a520aba722e3,0,Bar,http://tour-pedia.org/api/getPlaceDetails?id=114570,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=114570
"Majestic Hotel Dubai",attraction,114571,25.253688554898,55.293294305268,Dubai,"Barrels Sports Bar",4b0587eef964a520ada722e3,0,"Sports Bar",http://tour-pedia.org/api/getPlaceDetails?id=114571,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=114571
"Sheikh Zayed Road",attraction,114573,25.119013435114,55.197558620986,Dubai,"1897 Bar",4b0587eef964a520afa722e3,0,"Whisky Bar",http://tour-pedia.org/api/getPlaceDetails?id=114573,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=114573
"Fairmont Hotel Dubai",attraction,114574,25.226159316563,55.284845769623,Dubai,"Cin Cin",4b0587eef964a520b2a722e3,0,"Wine Bar",http://tour-pedia.org/api/getPlaceDetails?id=114574,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=114574
"Al Mina Road",attraction,114575,25.2524,55.28276,Dubai,"Rockwell Cafe",4b0587eef964a520b5a722e3,0,"Sports Bar",http://tour-pedia.org/api/getPlaceDetails?id=114575,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=114575
"133, Sheikh Zayed Road",attraction,114576,25.206493728443,55.272619802256,Dubai,"My Bar",4b0587eef964a520bba722e3,0,Bar,http://tour-pedia.org/api/getPlaceDetails?id=114576,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=114576
"Al Fahidi Street",attraction,114577,25.262522961512,55.297246236629,Dubai,"Sherlock Holmes English Pub",4b0587eef964a520bca722e3,0,Bar,http://tour-pedia.org/api/getPlaceDetails?id=114577,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=114577
"Sheikh Zayed Road",attraction,114578,25.259564030814,55.326551238232,Dubai,"Sky Bar",4b0587eef964a520bda722e3,0,Bar,http://tour-pedia.org/api/getPlaceDetails?id=114578,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=114578
"Sheikh Rashid Road",attraction,114580,25.229956429315,55.393719613535,Dubai,"New Asia Bar",4b0587eef964a520c1a722e3,0,"Cocktail Bar",http://tour-pedia.org/api/getPlaceDetails?id=114580,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=114580
"Sheikh Zayed Road",attraction,114581,25.056766151012,55.125246415459,Dubai,"Crystal Bar",4b0587eef964a520c5a722e3,0,"Cocktail Bar",http://tour-pedia.org/api/getPlaceDetails?id=114581,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=114581
"Benyas Road",attraction,114582,25.267902419949,55.303466036073,Dubai,"Duke's Bar",4b0587eef964a520c6a722e3,0,"Cocktail Bar",http://tour-pedia.org/api/getPlaceDetails?id=114582,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=114582
