,address,id,lat,lng,location,name,subCategory,details
1177,TT Neveritaweg 15a 1033WB Amsterdam,29863,52.399758082375,4.8964227619901,Amsterdam,Amsterdam Skatepark,Skate Park,http://tour-pedia.org/api/getPlaceDetails?id=29863
1178,neveritaweg 15,29864,52.401128688627,4.8959545567622,Amsterdam,NDSM Art Warp,Art Gallery,http://tour-pedia.org/api/getPlaceDetails?id=29864
1179,TT Neveritaweg,29865,52.399879034907,4.8955035209656,Amsterdam,Over het IJ Festival,Performing Arts Venue,http://tour-pedia.org/api/getPlaceDetails?id=29865
1181,van Diemenstraat,29867,52.39073964168,4.8856329917908,Amsterdam,Houthavens,Well,http://tour-pedia.org/api/getPlaceDetails?id=29867
1182,Van Diemenstraat 410,29868,52.39038244523,4.8873425820352,Amsterdam,Werkgebouw Het Veem,General Entertainment,http://tour-pedia.org/api/getPlaceDetails?id=29868
1184,Houtmankade 7-9,29870,52.38996779,4.885654,Amsterdam,Café Noorderster,Lounge,http://tour-pedia.org/api/getPlaceDetails?id=29870
1187,Oude Houthaven,29873,52.390792021819,4.8906326293945,Amsterdam,"Silodam, steiger binnenhaven",Harbor / Marina,http://tour-pedia.org/api/getPlaceDetails?id=29873
1189,Westerdok,29876,52.385833439714,4.8921276308238,Amsterdam,Westerdok,Building,http://tour-pedia.org/api/getPlaceDetails?id=29876
1190,Vinkenstraat 57,29877,52.382122262704,4.8867702484131,Amsterdam,Vesper,Cocktail Bar,http://tour-pedia.org/api/getPlaceDetails?id=29877
1191,Westerdoksplein 2,29878,52.383497540985,4.8920713576649,Amsterdam,Westerdoksplein,Plaza,http://tour-pedia.org/api/getPlaceDetails?id=29878
1192,Binnen Oranjestraat 15,29879,52.382034037963,4.8868227787793,Amsterdam,De Oranjerie,Pub,http://tour-pedia.org/api/getPlaceDetails?id=29879
1194,Goudsbloemstraat 91,29881,52.380760091408,4.8844528198242,Amsterdam,G's,Bar,http://tour-pedia.org/api/getPlaceDetails?id=29881
1195,Dam,29883,52.373018493092,4.8926281929016,Amsterdam,Dam,Plaza,http://tour-pedia.org/api/getPlaceDetails?id=29883
1196,IJpromenade 1,29884,52.384361895308,4.9007821083069,Amsterdam,EYE - Film Instituut Nederland,Museum,http://tour-pedia.org/api/getPlaceDetails?id=29884
1197,Haarlemmerstraat 102 1013 EW,29885,52.380574222489,4.8908597822153,Amsterdam,Barney's Coffeeshop Amsterdam,Smoke Shop,http://tour-pedia.org/api/getPlaceDetails?id=29885
